protein_id	entry	complete8	n_common_runs	mean_lfq	mean_log2_psm	mean_log2_nsaf	mean_psm	log2_length_rel	length_method	length_n_precise_cells	length_max_abs_dev_precise	length_interval_low	length_interval_high	n_unique_peptides	log2_n_unique_peptides	n_shared_peptides	mbr_intensity_frac_mean	shared_psm_frac	log2_shared_psm_inflation	resid_log2_psm	resid_log2_nsaf
psvid_101757_sp|Q9UBY8|CLN8_HUMAN	CLN8_HUMAN	False	2	21.1596	0	-15.6538	1	-0.548866	precise	3	0.00297214			1	0	0	0	0	-0		
psvid_10179_sp|P46778|RL21_HUMAN	RL21_HUMAN	True	8	26.8003	3.99799	-10.8557	16.25	-1.38525	precise	8	0.00154068			9	3.16993	0	0.182761	0	-0	-1.26251	0.039815
psvid_101848_sp|Q96IU4|ABHEB_HUMAN	ABHEB_HUMAN	True	8	24.5527	2.68364	-12.5639	7.125	-0.991085	precise	8	0.00445422			7	2.80735	0	0.189667	0	-0	-0.76072	0.0988353
psvid_102006_sp|Q8N129|CNPY4_HUMAN	CNPY4_HUMAN	False	5	20.529	0.516993	-14.9813	1.6	-0.752507	precise	5	0.00227429			2	1	0	0.0619926	0	-0		
psvid_102097_sp|Q9H479|FN3K_HUMAN	FN3K_HUMAN	False	6	22.1738	1.48448	-14.3305	3	-0.435978	precise	6	0.00152115			4	2	0	0.360688	0	-0		
psvid_102189_sp|Q9HCN8|SDF2L_HUMAN	SDF2L_HUMAN	True	8	26.4696	5.1926	-10.1508	37.25	-0.91927	precise	6	0.00132408			12	3.58496	0	0.0402732	0	-0	0.161616	0.984203
psvid_102202_sp|Q96B49|TOM6_HUMAN	TOM6_HUMAN	False	5	20.4965	0.316993	-13.4514	1.4	-2.49714	precise	5	0.000827124			2	1	0	0.21052	0	-0		
psvid_102240_sp|P02655|APOC2_HUMAN	APOC2_HUMAN	True	8	26.5744	3.50226	-10.6877	11.375	-2.04898	precise	8	0.00157493			5	2.32193	0	0	0	-0	-1.60158	0.369194
psvid_102282_sp|Q4VC31|MIX23_HUMAN	MIX23_HUMAN	False	4	22.5514	1.54248	-13.2086	3	-1.53683	precise	4	0.00446606			4	2	0	0.111848	0	-0		
psvid_102284_sp|O60218|AK1BA_HUMAN	AK1BA_HUMAN	False	3	25.1002	3.39164	-12.5051	23	-0.404144	precise	3	0.0030792			11	3.45943	6	0.249681	0.391304	0.716207		
psvid_102354_sp|Q9Y5Z4|HEBP2_HUMAN	HEBP2_HUMAN	False	7	21.9322	1.50889	-13.716	3.28571	-1.02713	precise	7	0.00378356			4	2	0	0.363342	0	-0		
psvid_102365_sp|P57729|RAB38_HUMAN	RAB38_HUMAN	False	0					-0.985009	precise	7	0.00253882			0		1		1			
psvid_102460_sp|O75192|PX11A_HUMAN	PX11A_HUMAN	False	5	21.5443	0.516993	-14.9784	1.6	-0.758404	precise	5	0.00200912			3	1.58496	0	0.281558	0	-0		
psvid_102468_sp|Q9P0S2|COX16_HUMAN	COX16_HUMAN	False	0					-1.97787	precise	1	3.61822e-13			0		0		0	-0		
psvid_102500_sp|Q01628|IFM3_HUMAN	IFM3_HUMAN	False	2	20.5498	1.29248	-13.2009	2.5	-1.65212	precise	4	0.00245254			1	0	2	0	0.714286	1.80735		
psvid_102576_sp|P08708|RS17_HUMAN	RS17_HUMAN	True	8	26.8176	4.57019	-10.1551	24.5	-1.62957	precise	5	0.00127105			13	3.70044	0	0.0192561	0	-0	-0.701752	0.729986
psvid_102629_sp|Q96DB5|RMD1_HUMAN	RMD1_HUMAN	False	7	23.3473	1.68768	-14.1463	4	-0.412498	precise	7	0.00331579			6	2.58496	0	0.0835431	0	-0		
psvid_102775_sp|Q9Y5J6|T10B_HUMAN	T10B_HUMAN	False	1	18.7105	0	-14.4206	1	-2.02094	precise	1	3.9635e-14			1	0	0	0	0	-0		
psvid_102816_sp|Q9H2C2|ARV1_HUMAN	ARV1_HUMAN	False	0					-0.622488	precise	1	5.38458e-14			0		0		0	-0		
psvid_102869_sp|Q9NXR5|ANR10_HUMAN	ANR10_HUMAN	False	1	22.1897	0	-16.2311	1	0.00619542	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_103084_sp|A0PJX8|TMM82_HUMAN	TMM82_HUMAN	False	3	23.0332	2.13077	-13.8657	5	-0.286086	precise	3	0.0017666			4	2	0	0	0	-0		
psvid_103096_sp|Q6P2I3|FAH2B_HUMAN	FAH2B_HUMAN	False	0					-0.412277	precise	6	0.00353681			0		5		1			
psvid_103114_sp|Q96AX2|RAB37_HUMAN	RAB37_HUMAN	False	0					-0.903035	precise	8	0.00800063			0		1		1			
psvid_103269_sp|H3BR10|SMLR1_HUMAN	SMLR1_HUMAN	False	6	21.8467	0.333333	-13.9517	1.33333	-1.96587	precise	8	0.00320038			1	0	0	0	0	-0		
psvid_103290_sp|O60739|EIF1B_HUMAN	EIF1B_HUMAN	False	0					-1.88639	precise	8	0.00441255			0		2		1			
psvid_103296_sp|Q9UKY3|CES1P_HUMAN	CES1P_HUMAN	False	0					-0.512833	interval	0		-0.542881	-0.482786	0		14		1			
psvid_103297_sp|O14957|QCR10_HUMAN	QCR10_HUMAN	False	3	23.2064	0	-13.2862	1	-2.89921	precise	3	0.00580524			1	0	0	0	0	-0		
psvid_103370_sp|Q8WUA8|TSK_HUMAN	TSK_HUMAN	False	2	22.6528	1.66096	-14.47	3.5	-0.242889	precise	4	0.00238125			3	1.58496	0	0	0	-0		
psvid_103652_sp|Q15836|VAMP3_HUMAN	VAMP3_HUMAN	False	6	20.7295	2.15115	-12.0273	4.66667	-2.06215	precise	8	0.00402804			1	0	2	0	0.666667	1.58496		
psvid_103710_sp|P08571|CD14_HUMAN	CD14_HUMAN	True	8	25.9941	4.55322	-11.5297	24.25	-0.156036	precise	8	0.00215358			16	4	0	0.0516026	0	-0	-0.104625	0.00116633
psvid_103752_sp|P15151|PVR_HUMAN	PVR_HUMAN	False	7	22.2441	1.55813	-14.6864	3.28571	-0.00236925	precise	7	0.00249052			4	2	0	0.0873681	0	-0		
psvid_103831_sp|Q629K1|TRIQK_HUMAN	TRIQK_HUMAN	False	2	22.5244	0	-13.9511	1	-2.28039	precise	2	0.000123292			1	0	0	0	0	-0		
psvid_103841_sp|Q16864|VATF_HUMAN	VATF_HUMAN	False	7	22.7643	1.14286	-13.2923	2.42857	-1.81206	precise	8	0.00356678			5	2.32193	0	0.459578	0	-0		
psvid_103859_sp|Q15274|NADC_HUMAN	NADC_HUMAN	False	6	23.0543	2.65232	-13.106	6.5	-0.492519	precise	6	0.00602824			6	2.58496	0	0.0710345	0	-0		
psvid_103923_sp|P62273|RS29_HUMAN	RS29_HUMAN	True	8	22.3211	1.41748	-11.9228	2.875	-2.89852	precise	8	0.00511346			2	1	0	0.0294183	0	-0	-0.189676	2.26155
psvid_104028_sp|O14910|LIN7A_HUMAN	LIN7A_HUMAN	False	0					-0.840957	precise	3	0.00185109			0		1		1			
psvid_104033_sp|Q9UNL2|SSRG_HUMAN	SSRG_HUMAN	True	8	24.1591	1.94384	-13.1202	4.125	-1.17566	precise	8	0.00626535			2	1	0	0.110319	0	-0	-1.18368	-0.1848
psvid_104041_sp|P07305|H10_HUMAN	H10_HUMAN	True	8	23.139	1.66748	-13.465	3.875	-1.10731	precise	8	0.00736774			3	1.58496	0	0.0676145	0	-0	-0.537427	0.192367
psvid_104065_sp|P62314|SMD1_HUMAN	SMD1_HUMAN	True	8	22.6057	2.4878	-11.9402	5.75	-1.81096	precise	8	0.00189362			4	2	0	0.0402591	0	-0	0.685908	2.08548
psvid_104079_sp|Q5VTU8|AT5EL_HUMAN	AT5EL_HUMAN	False	0					-3.03373	precise	8	0.00124437			0		3		1			
psvid_104080_sp|Q9BRP8|PYM1_HUMAN	PYM1_HUMAN	True	8	23.6235	2.68592	-12.5199	6.75	-1.03322	precise	8	0.00367027			7	2.80735	0	0.160921	0	-0	0.0266588	0.79549
psvid_104123_sp|Q9BX51|GGTL1_HUMAN	GGTL1_HUMAN	False	0					-0.893278	precise	5	0.00210749			0		1		1			
psvid_104163_sp|Q96E16|SMI19_HUMAN	SMI19_HUMAN	False	0					-1.96604	precise	2	9.37845e-05			0		0		0	-0		
psvid_104200_sp|P13164|IFM1_HUMAN	IFM1_HUMAN	False	4	20.6187	0.646241	-13.8027	1.75	-1.74028	precise	4	0.00143133			1	0	2	0.5	0.714286	1.80735		
psvid_104220_sp|Q9Y3C4|TPRKB_HUMAN	TPRKB_HUMAN	False	2	18.2984	0	-14.9931	1	-1.25418	precise	2	0.000582083			1	0	0	0	0	-0		
psvid_104292_sp|Q96NZ9|PRAP1_HUMAN	PRAP1_HUMAN	False	1	19.6915	0	-14.6761	1	-1.46968	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_104307_sp|Q8IVM8|S22A9_HUMAN	S22A9_HUMAN	False	6	19.4536	0.333333	-16.34	1.33333	0.403733	precise	7	0.00378356			1	0	0	0	0	-0		
psvid_104389_sp|P62304|RUXE_HUMAN	RUXE_HUMAN	True	8	22.4539	0.69812	-13.3582	1.75	-2.18253	precise	8	0.00256656			2	1	0	0	0	-0	-0.997247	0.757238
psvid_104457_sp|P08579|RU2B_HUMAN	RU2B_HUMAN	False	2	19.4501	0	-15.251	1	-0.895568	precise	2	0.000182788			1	0	0	0	0	-0		
psvid_10446_sp|P83881|RL36A_HUMAN	RL36A_HUMAN	False	2	19.6253	3.16993	-11.2241	9	-1.97885	precise	8	0.00414383			1	0	3	0	0.906977	3.42626		
psvid_104736_sp|Q8N5G0|SIM20_HUMAN	SIM20_HUMAN	True	8	21.7077	1.02124	-12.577	2.125	-2.64042	precise	8	0.00266097			1	0	0	0	0	-0	-0.257164	1.74806
psvid_104749_sp|P22792|CPN2_HUMAN	CPN2_HUMAN	True	8	23.2749	1.9212	-14.7012	4.625	0.383424	precise	8	0.00245047			8	3	0	0.192232	0	-0	-0.4032	-1.13988
psvid_104779_sp|Q99678|GPR20_HUMAN	GPR20_HUMAN	False	1	22.3502	0	-16.0056	1	-0.219364	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_104786_sp|Q8IVP5|FUND1_HUMAN	FUND1_HUMAN	False	1	21.6144	0	-14.7497	1	-1.43145	precise	1	5.56222e-14			1	0	0	0	0	-0		
psvid_104839_sp|O14817|TSN4_HUMAN	TSN4_HUMAN	False	3	22.4331	0.333333	-15.0551	1.33333	-0.810986	precise	4	0.00159855			2	1	0	0.389425	0	-0		
psvid_104903_sp|Q5T0D9|TPRGL_HUMAN	TPRGL_HUMAN	False	2	20.51	0	-15.7513	1	-0.622682	precise	3	0.000227605			1	0	0	0	0	-0		
psvid_104949_sp|P18827|SDC1_HUMAN	SDC1_HUMAN	True	8	20.9948	0.771241	-15.0365	1.875	-0.431199	precise	8	0.00155906			2	1	0	0.031387	0	-0	-0.188597	-0.631122
psvid_104963_sp|Q99470|SDF2_HUMAN	SDF2_HUMAN	True	8	22.6273	2.01696	-13.2364	4.25	-0.985534	precise	8	0.00439685			4	2	0	0.151445	0	-0	0.199686	0.775491
psvid_105012_sp|Q9BUP3|HTAI2_HUMAN	HTAI2_HUMAN	True	8	25.7546	4.30693	-11.1439	20.125	-0.787826	precise	8	0.00129231			16	4	0	0.147053	0	-0	-0.152153	0.603204
psvid_105013_sp|Q8NC44|RETR2_HUMAN	RETR2_HUMAN	False	6	21.713	0.430827	-16.1888	1.5	0.377588	precise	6	0.0071191			2	1	0	0.35093	0	-0		
psvid_105020_sp|P08637|FCG3A_HUMAN	FCG3A_HUMAN	True	8	21.7154	0.69812	-14.8219	1.75	-0.718597	precise	8	0.00171181			2	1	1	0.123179	0.428571	0.807355	-0.584027	-0.497492
psvid_105053_sp|Q8NEW0|ZNT7_HUMAN	ZNT7_HUMAN	True	8	23.3903	2.28084	-13.8051	5.25	-0.15171	precise	8	0.0051531			4	2	0	0.0742463	0	-0	-0.14871	-0.321793
psvid_105107_sp|O15511|ARPC5_HUMAN	ARPC5_HUMAN	False	4	20.4336	0	-14.8211	1	-1.46687	precise	5	0.00195155			1	0	0	0	0	-0		
psvid_105138_sp|P15954|COX7C_HUMAN	COX7C_HUMAN	True	8	24.9764	1.45772	-12.0516	3.25	-2.72974	precise	8	0.00284669			3	1.58496	0	0	0	-0	-2.35039	0.302513
psvid_105195_sp|P62269|RS18_HUMAN	RS18_HUMAN	True	8	27.3113	4.59061	-10.2152	24.5	-1.45838	precise	6	0.00102894			13	3.70044	0	0.033345	0	-0	-1.00257	0.374658
psvid_105237_sp|Q8TF09|DLRB2_HUMAN	DLRB2_HUMAN	False	0					-2.12174	precise	5	0.00541998			0		1		1			
psvid_105309_sp|P61604|CH10_HUMAN	CH10_HUMAN	True	8	25.2936	3.91236	-10.292	15.125	-2.03474	precise	8	0.00123619			9	3.16993	0	0.0395861	0	-0	-0.168951	1.83371
psvid_105428_sp|P30531|SC6A1_HUMAN	SC6A1_HUMAN	False	3	19.5559	0	-16.8435	1	0.519174	precise	4	0.000169842			1	0	0	0	0	-0		
psvid_105552_sp|Q8N386|LRC25_HUMAN	LRC25_HUMAN	False	4	19.8833	0.5	-15.3056	1.5	-0.454841	precise	5	0.00090688			2	1	0	0.354747	0	-0		
psvid_105690_sp|P37108|SRP14_HUMAN	SRP14_HUMAN	True	8	23.8016	2.7378	-11.882	7	-1.61947	precise	8	0.00441221			6	2.58496	0	0.334553	0	-0	-0.0912654	1.30174
psvid_105695_sp|Q15800|MSMO1_HUMAN	MSMO1_HUMAN	True	8	24.057	2.97974	-12.7495	8.875	-0.509642	precise	8	0.00345834			6	2.58496	0	0.0662332	0	-0	-0.0664676	0.261364
psvid_105768_sp|P62837|UB2D2_HUMAN	UB2D2_HUMAN	False	0					-1.50618	precise	5	0.00191838			0		3		1			
psvid_105772_sp|Q9Y2X8|UB2D4_HUMAN	UB2D4_HUMAN	False	0					-1.50671	precise	3	0.00124644			0		1		1			
psvid_105838_sp|Q9UHE5|NAT8_HUMAN	NAT8_HUMAN	True	8	23.8065	3.38075	-11.9787	11	-0.879063	precise	8	0.00413663			7	2.80735	1	0.0231244	0.0454545	0.0671142	0.547168	1.20154
psvid_105844_sp|Q5JXB2|UE2NL_HUMAN	UE2NL_HUMAN	False	0					-1.44966	precise	7	0.00138316			0		2		1			
psvid_106029_sp|Q92685|ALG3_HUMAN	ALG3_HUMAN	False	5	20.3003	0.6	-15.6695	1.6	0.0685613	precise	5	0.00425881			2	1	0	0.2	0	-0		
psvid_106346_sp|O14521|DHSD_HUMAN	DHSD_HUMAN	True	8	22.9783	1.76184	-13.0844	4.125	-1.39285	precise	8	0.00412415			3	1.58496	0	0	0	-0	-0.314954	0.683604
psvid_106406_sp|O60725|ICMT_HUMAN	ICMT_HUMAN	True	8	19.5232	0.44812	-15.2341	1.5	-0.556859	precise	8	0.00248207			2	1	0	0.393848	0	-0	0.0827792	-0.723094
psvid_106413_sp|O00422|SAP18_HUMAN	SAP18_HUMAN	False	6	22.0516	1.99621	-12.805	4.66667	-1.44953	precise	6	0.00408571			4	2	0	0.247376	0	-0		
psvid_106449_sp|Q9NX08|COMD8_HUMAN	COMD8_HUMAN	False	2	19.5154	0	-15.0393	1	-1.19226	precise	2	0.000796505			1	0	0	0	0	-0		
psvid_106450_sp|O15431|COPT1_HUMAN	COPT1_HUMAN	True	8	22.0819	1.45772	-13.6432	3	-1.13705	precise	8	0.00520188			2	1	0	0.0236471	0	-0	-0.00929378	0.626759
psvid_106504_sp|O00483|CXFA4_HUMAN	CXFA4_HUMAN	True	8	26.0852	3.5587	-10.3457	12.125	-2.36705	precise	6	0.00134927			5	2.32193	0	0.00811448	0	-0	-1.17507	1.1054
psvid_106632_sp|Q96A29|FUCT1_HUMAN	FUCT1_HUMAN	False	5	20.9077	1.03399	-15.0379	2.2	-0.199906	precise	5	0.00227129			2	1	0	0	0	-0		
psvid_106754_sp|P02776|PLF4_HUMAN	PLF4_HUMAN	False	0					-2.04796	precise	1	5.4734e-14			0		1		1			
psvid_106771_sp|Q8N131|PORIM_HUMAN	PORIM_HUMAN	False	4	21.3856	0.5	-14.7532	1.5	-1.00712	precise	4	0.00112771			1	0	0	0	0	-0		
psvid_106809_sp|P62310|LSM3_HUMAN	LSM3_HUMAN	False	3	20.3187	0	-14.1757	1	-2.03436	precise	3	0.0011648			1	0	0	0	0	-0		
psvid_106828_sp|Q9UI14|PRAF1_HUMAN	PRAF1_HUMAN	False	6	23.5147	1.94363	-13.1324	4	-1.17566	precise	8	0.00366823			4	2	0	0.203685	0	-0		
psvid_106871_sp|Q9C005|DPY30_HUMAN	DPY30_HUMAN	False	6	20.7826	1.09749	-13.0767	2.16667	-2.07683	precise	6	0.00466777			2	1	0	0	0	-0		
psvid_107074_sp|Q9UDW1|QCR9_HUMAN	QCR9_HUMAN	True	8	23.2956	2.40179	-11.1073	5.875	-2.72974	precise	8	0.00284307			2	1	0	0	0	-0	0.0592664	2.43973
psvid_10710_sp|P55081|MFAP1_HUMAN	MFAP1_HUMAN	False	1	19.6004	0	-16.1874	1	0.071583	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_107160_sp|P03928|ATP8_HUMAN	ATP8_HUMAN	True	8	23.6927	3.42299	-10.2431	11	-2.61913	precise	6	0.000802082			3	1.58496	0	0.0755951	0	-0	0.696247	3.01995
psvid_107318_sp|Q9NYL4|FKB11_HUMAN	FKB11_HUMAN	True	8	25.5926	3.30911	-11.8729	10.375	-1.05686	precise	8	0.0020422			7	2.80735	0	0.12009	0	-0	-1.02006	0.0195085
psvid_107322_sp|O15127|SCAM2_HUMAN	SCAM2_HUMAN	True	8	22.7035	2.672	-13.2221	6.875	-0.34513	precise	8	0.00507236			5	2.32193	0	0.0674296	0	-0	0.799911	0.73852
psvid_107399_sp|Q9NXS2|QPCTL_HUMAN	QPCTL_HUMAN	False	6	22.2379	2.0752	-14.0461	4.5	-0.129487	precise	6	0.0010821			6	2.58496	0	0.217621	0	-0		
psvid_107427_sp|P41567|EIF1_HUMAN	EIF1_HUMAN	False	5	22.7746	2.34285	-12.0425	5.4	-1.88664	precise	8	0.00280004			3	1.58496	2	0.158797	0.75	2		
psvid_107450_sp|Q5UCC4|EMC10_HUMAN	EMC10_HUMAN	False	6	21.8462	0.333333	-15.2569	1.33333	-0.674203	precise	8	0.00233303			3	1.58496	0	0.166667	0	-0		
psvid_107485_sp|O43676|NDUB3_HUMAN	NDUB3_HUMAN	True	8	23.9975	2.1624	-11.9847	4.625	-2.09162	precise	8	0.00342673			4	2	0	0.0305585	0	-0	-0.836215	1.06766
psvid_107532_sp|Q9NUD9|PIGV_HUMAN	PIGV_HUMAN	False	1	20.7612	0	-16.4206	1	0.237638	precise	2	0.00184715			1	0	0	0	0	-0		
psvid_107798_sp|A1KXE4|F168B_HUMAN	F168B_HUMAN	False	0					-1.10072	precise	1	5.38458e-14			0		0		0	-0		
psvid_107946_sp|P02743|SAMP_HUMAN	SAMP_HUMAN	True	8	25.6601	3.89312	-11.4401	16.25	-0.905698	precise	8	0.00270293			9	3.16993	0	0.0266736	0	-0	-0.489912	0.392504
psvid_107989_sp|Q9NRX6|KISHB_HUMAN	KISHB_HUMAN	False	7	20.5747	0.142857	-13.6166	1.14286	-2.49748	precise	7	0.00325846			1	0	0	0	0	-0		
psvid_10809_sp|P27348|1433T_HUMAN	1433T_HUMAN	True	8	22.3619	3.28844	-12.1806	10	-0.769275	precise	8	0.00521653			5	2.32193	4	0.0563636	0.4625	0.895663	1.6546	1.9831
psvid_108189_sp|Q0VGL1|LTOR4_HUMAN	LTOR4_HUMAN	False	2	19.5652	1	-13.2979	2	-2.0768	precise	3	0.00137521			1	0	0	0	0	-0		
psvid_108526_sp|L0R6Q1|S35U4_HUMAN	S35U4_HUMAN	False	7	20.9073	0.142857	-14.0891	1.14286	-2.02038	precise	7	0.0015436			2	1	0	0.149601	0	-0		
psvid_10853_sp|P06753|TPM3_HUMAN	TPM3_HUMAN	True	8	21.992	2.77451	-12.9131	7.5	-0.551472	precise	8	0.00453252			4	2	5	0.213852	0.666667	1.58496	1.35497	1.37529
psvid_108581_sp|Q9P2X0|DPM3_HUMAN	DPM3_HUMAN	True	8	23.2333	2.67303	-11.3822	6.625	-2.18397	precise	8	0.00163353			2	1	0	0	0	-0	0.385438	2.2082
psvid_108644_sp|Q86YN1|DOPP1_HUMAN	DOPP1_HUMAN	False	7	22.924	0.857143	-14.5834	1.85714	-0.811278	precise	7	0.0020439			2	1	0	0.248057	0	-0		
psvid_108755_sp|Q9BUN8|DERL1_HUMAN	DERL1_HUMAN	True	8	24.8343	2.99107	-12.5121	8.375	-0.735501	precise	8	0.00334379			5	2.32193	0	0	0	-0	-0.6978	-0.0527375
psvid_108758_sp|Q86X83|COMD2_HUMAN	COMD2_HUMAN	False	6	18.2887	0	-15.1803	1	-1.07028	precise	6	0.00188085			1	0	0	0	0	-0		
psvid_108796_sp|Q15125|EBP_HUMAN	EBP_HUMAN	True	8	24.8968	2.5244	-12.8531	5.875	-0.861334	precise	8	0.00492069			2	1	0	0	0	-0	-1.21722	-0.440648
psvid_108947_sp|O14949|QCR8_HUMAN	QCR8_HUMAN	True	8	24.8386	3.09682	-10.7931	8.75	-2.34869	precise	8	0.00106753			6	2.58496	0	0.113079	0	-0	-0.595687	1.663
psvid_108997_sp|Q8N2H4|SYS1_HUMAN	SYS1_HUMAN	False	1	20.8504	0	-14.7616	1	-1.41943	precise	2	5.08115e-05			1	0	0	0	0	-0		
psvid_109030_sp|O43731|ERD23_HUMAN	ERD23_HUMAN	False	0					-0.96578	precise	2	0.000164111			0		1		1			
psvid_109057_sp|P61018|RAB4B_HUMAN	RAB4B_HUMAN	False	4	19.4987	2.89624	-12.3528	7.5	-0.972089	precise	8	0.0035818			1	0	2	0	0.847458	2.71272		
psvid_109397_sp|Q9UBQ0|VPS29_HUMAN	VPS29_HUMAN	False	7	21.4867	1.5824	-13.4649	3.57143	-1.19995	precise	7	0.00223697			3	1.58496	0	0.0489484	0	-0		
psvid_109445_sp|P30050|RL12_HUMAN	RL12_HUMAN	True	8	28.3262	5.39868	-9.71578	43.375	-1.40453	interval	0		-1.48708	-1.32198	10	3.32193	0	0.00257931	0	-0	-0.938817	0.295902
psvid_109548_sp|Q6RW13|ATRAP_HUMAN	ATRAP_HUMAN	False	2	20.0414	0	-14.8522	1	-1.39469	precise	3	0.00206129			1	0	0	0	0	-0		
