protein_id	entry	sample_id	batch	condition	has_lfq	has_psm	in_common	complete8	lfq	psm	log2_psm	log2_psm_runnorm	nsaf	log2_nsaf	nsaf_precise	log2_length_rel	psm_bin	resid_log2_psm	resid_log2_nsaf	resid_lfq_given_psm	lfq_decile	n_unique_peptides_msms_run	n_unique_peptides_mbr_run	mbr_intensity_frac_run	shared_psm_frac_run	fit_log2_psm_given_lfq	fit_log2_nsaf_given_lfq
psvid_100492_sp|P42677|RS27_HUMAN	RS27_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.4242	18	4.16993	3.90027	0.001	-9.96578	False	-2.31406	16-31	0.759731	2.76566	-0.703626	7	3	0	0	0.666667	3.41019	-12.7314
psvid_100525_sp|P09234|RU1C_HUMAN	RU1C_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.4159	1	0	-0.269657	2.95e-05	-15.0489	True	-1.3942	1	-0.918559	0.0791553	0.527976	2	1	0	0	0	0.918559	-15.1281
psvid_100570_sp|Q96HS1|PGAM5_HUMAN	PGAM5_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.9443	18	4.16993	3.90027	0.000292	-11.7417	True	-0.532426	16-31	0.33231	0.594266	-0.183465	8	10	0	0	0	3.83762	-12.336
psvid_100762_sp|P62841|RS15_HUMAN	RS15_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	27.4897	27	4.75489	4.48523	0.000874	-10.1601	True	-1.52702	16-31	-0.974745	0.34456	1.60304	10	7	1	0.00529195	0	5.72963	-10.5046
psvid_100787_sp|P62308|RUXG_HUMAN	RUXG_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		3	1.58496	1.31531	0.000185	-12.4002	True	-2.45863	2-3					0	0		1		
psvid_100989_sp|Q9HCJ1|ANKH_HUMAN	ANKH_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	19.4988	1	0	-0.269657	9.54e-06	-16.6776	True	0.234245	1	-0.261218	-0.781714	-1.38911	1	1	0	0	0	0.261218	-15.8959
psvid_101104_sp|P47813|IF1AX_HUMAN	IF1AX_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.3102	8	3	2.73034	0.000261	-11.9037	True	-1.53721	8-15	2.53893	3.69884	-3.47233	1	1	1	0.482602	0.875	0.461071	-15.6025
psvid_101229_sp|Q5TGZ0|MIC10_HUMAN	MIC10_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	24.2447	1	0	-0.269657	6.02e-05	-14.0199	True	-2.42148	1	-3.25726	-1.1485	3.35674	7	1	1	0.25663	0	3.25726	-12.8714
psvid_101381_sp|P56962|STX17_HUMAN	STX17_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.2234	1	0	-0.269657	1.55e-05	-15.9774	True	-0.46891	1	-1.43114	-1.33363	1.33545	3	1	0	0	0	1.43114	-14.6437
psvid_101546_sp|Q9NYM9|BET1L_HUMAN	BET1L_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		2	1	0.730343	8.46e-05	-13.529	True	-1.91248	2-3					0	0		0		
psvid_101645_sp|Q9ULX7|CAH14_HUMAN	CAH14_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.2346	1	0	-0.269657	1.39e-05	-16.1346	True	-0.310865	1	-0.823073	-0.921776	0.346612	2	1	0	0	0	0.823073	-15.2128
psvid_101723_sp|A0A0B4J2F0|PIOS1_HUMAN	PIOS1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.5258	2	1	0.730343	0.000174	-12.4886	True	-2.95099	2-3	0.472335	3.02988	-1.31223	1	1	0	0	0	0.527665	-15.5185
psvid_101757_sp|Q9UBY8|CLN8_HUMAN	CLN8_HUMAN	AZ905	B2021-05-06	control	True	False	False	False	19.6979						False	-0.548866						0	1	1			
psvid_10179_sp|P46778|RL21_HUMAN	RL21_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	26.7339	22	4.45943	4.18977	0.000645	-10.5984	True	-1.38525	16-31	-0.746663	0.379975	1.23558	9	8	1	0.013618	0	5.20609	-10.9784
psvid_101848_sp|Q96IU4|ABHEB_HUMAN	ABHEB_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.4608	7	2.80735	2.5377	0.000156	-12.6462	True	-0.991085	4-7	-0.633488	0.057271	0.902357	7	3	3	0.308927	0	3.44084	-12.7034
psvid_102006_sp|Q8N129|CNPY4_HUMAN	CNPY4_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.7257	1	0	-0.269657	1.89e-05	-15.6913	True	-0.752507	1	-0.598463	-0.254865	-0.16223	2	1	0	0	0	0.598463	-15.4364
psvid_102097_sp|Q9H479|FN3K_HUMAN	FN3K_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.7916	2	1	0.730343	3.04e-05	-15.0056	True	-0.435978	2-3	-0.140458	-0.0822311	-0.0464488	3	1	1	0.512462	0	1.14046	-14.9233
psvid_102189_sp|Q9HCN8|SDF2L_HUMAN	SDF2L_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	26.3773	48	5.58496	5.31531	0.001	-9.96578	False	-0.91927	>=32	0.626115	1.25404	-0.546125	9	11	1	0.0627863	0	4.95885	-11.2198
psvid_102202_sp|Q96B49|TOM6_HUMAN	TOM6_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.513	1	0	-0.269657	6.34e-05	-13.9452	True	-2.49714	1	-0.523549	1.57843	-0.37497	1	1	1	0.0525987	0	0.523549	-15.5236
psvid_102240_sp|P02655|APOC2_HUMAN	APOC2_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	26.563	12	3.58496	3.31531	0.000558	-10.8074	True	-2.04898	8-15	-1.50347	0.283994	2.11681	9	5	0	0	0	5.08843	-11.0914
psvid_102282_sp|Q4VC31|MIX23_HUMAN	MIX23_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.472	3	1.58496	1.31531	9.78e-05	-13.3198	True	-1.53683	2-3	-0.038226	1.12974	0.0935116	4	3	0	0	0	1.62319	-14.4495
psvid_102284_sp|O60218|AK1BA_HUMAN	AK1BA_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.2719	1	0	-0.269657	1.49e-05	-16.0343	True	-0.404144	1	-1.46732	-1.42618	1.38392	3	1	2	0.749044	0	1.46732	-14.6082
psvid_102354_sp|Q9Y5Z4|HEBP2_HUMAN	HEBP2_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.1535	7	2.80735	2.5377	0.00016	-12.6096	True	-1.02713	4-7	1.42706	2.08335	-1.40491	3	4	0	0	0	1.38029	-14.693
psvid_102365_sp|P57729|RAB38_HUMAN	RAB38_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		1	0	-0.269657	2.22e-05	-15.4591	True	-0.985009	1					0	0		1		
psvid_102460_sp|O75192|PX11A_HUMAN	PX11A_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.3984	1	0	-0.269657	1.9e-05	-15.6836	True	-0.758404	1	-0.909024	-0.547156	0.51042	2	1	1	0.335315	0	0.909024	-15.1365
psvid_102576_sp|P08708|RS17_HUMAN	RS17_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	26.763	28	4.80735	4.5377	0.000974	-10.0038	True	-1.62957	16-31	-0.418569	0.95594	0.80744	9	13	0	0	0	5.22592	-10.9597
psvid_102629_sp|Q96DB5|RMD1_HUMAN	RMD1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	23.9562	5	2.32193	2.05227	7.47e-05	-13.7085	True	-0.412498	4-7	-0.676033	-0.59537	0.902885	6	4	0	0	0	2.99796	-13.1132
psvid_102775_sp|Q9Y5J6|T10B_HUMAN	T10B_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	18.7105	1	0	-0.269657	4.56e-05	-14.4206	True	-2.02094	1	-0.0999793	1.76675	-2.17741	1	1	0	0	0	0.0999793	-16.1874
psvid_103084_sp|A0PJX8|TMM82_HUMAN	TMM82_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.5511	2	1	0.730343	2.74e-05	-15.1555	True	-0.286086	2-3	0.00471261	-0.0960009	-0.286965	2	2	0	0	0	0.995287	-15.0595
psvid_103096_sp|Q6P2I3|FAH2B_HUMAN	FAH2B_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		2	1	0.730343	2.99e-05	-15.0295	True	-0.412277	2-3					0	0		1		
psvid_103114_sp|Q96AX2|RAB37_HUMAN	RAB37_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		6	2.58496	2.31531	0.000126	-12.9543	True	-0.903035	4-7					0	0		1		
psvid_103269_sp|H3BR10|SMLR1_HUMAN	SMLR1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.4015	1	0	-0.269657	4.39e-05	-14.4754	True	-1.96587	1	-1.56706	0.0321508	1.51351	4	1	0	0	0	1.56706	-14.5076
psvid_103290_sp|O60739|EIF1B_HUMAN	EIF1B_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		3	1.58496	1.31531	0.000125	-12.9658	True	-1.88639	2-3					0	0		1		
psvid_103296_sp|Q9UKY3|CES1P_HUMAN	CES1P_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		336	8.39232	8.12266	0.005	-7.64386	False	-0.512833	>=32					0	0		1		
psvid_103297_sp|O14957|QCR10_HUMAN	QCR10_HUMAN	AZ905	B2021-05-06	control	True	False	False	False	21.933						False	-2.89921						0	1	1			
psvid_103370_sp|Q8WUA8|TSK_HUMAN	TSK_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.5616	5	2.32193	2.05227	6.65e-05	-13.8763	True	-0.242889	4-7	0.626036	0.497622	-0.491761	4	3	0	0	0	1.69589	-14.3739
psvid_103652_sp|Q15836|VAMP3_HUMAN	VAMP3_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.523	5	2.32193	2.05227	0.000235	-12.0551	True	-2.06215	4-7	1.79518	3.46458	-2.53038	1	1	0	0	0.8	0.52675	-15.5196
psvid_103710_sp|P08571|CD14_HUMAN	CD14_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	26.3958	32	5	4.73034	0.000401	-11.2841	True	-0.156036	>=32	0.0281005	-0.0774142	0.192492	9	13	2	0.0438267	0	4.9719	-11.2067
psvid_103752_sp|P15151|PVR_HUMAN	PVR_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.1215	5	2.32193	2.05227	5.63e-05	-14.1165	True	-0.00236925	4-7	0.96434	0.598333	-0.931845	3	4	0	0	0	1.35759	-14.7148
psvid_103831_sp|Q629K1|TRIQK_HUMAN	TRIQK_HUMAN	AZ905	B2021-05-06	control	True	False	False	False	21.4764						False	-2.28039						0	1	1			
psvid_103841_sp|Q16864|VATF_HUMAN	VATF_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.8606	1	0	-0.269657	3.94e-05	-14.6314	True	-1.81206	1	-1.95138	-0.517455	1.97265	4	1	3	0.845006	0	1.95138	-14.114
psvid_103859_sp|Q15274|NADC_HUMAN	NADC_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	23.2157	7	2.80735	2.5377	0.000111	-13.1372	True	-0.492519	4-7	0.530348	0.661591	-0.342716	5	5	0	0	0	2.27701	-13.7987
psvid_103923_sp|P62273|RS29_HUMAN	RS29_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.414	4	2	1.73034	0.000335	-11.5436	True	-2.89852	4-7	0.423023	2.95383	-0.343217	4	2	0	0	0	1.57698	-14.4974
psvid_104028_sp|O14910|LIN7A_HUMAN	LIN7A_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		1	0	-0.269657	2.01e-05	-15.6024	True	-0.840957	1					0	0		1		
psvid_104033_sp|Q9UNL2|SSRG_HUMAN	SSRG_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.1649	5	2.32193	2.05227	0.000127	-12.9429	True	-1.17566	4-7	-0.865316	-0.00689747	1.11158	6	1	1	0.368122	0	3.18724	-12.936
psvid_104041_sp|P07305|H10_HUMAN	H10_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	21.3324	1	0	-0.269657	2.42e-05	-15.3346	True	-1.10731	1	-0.873459	-0.16678	0.444445	2	1	0	0	0	0.873459	-15.1679
psvid_104065_sp|P62314|SMD1_HUMAN	SMD1_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.5252	5	2.32193	2.05227	0.000197	-12.3095	True	-1.81096	4-7	0.655709	2.0953	-0.528188	4	3	1	0.0421992	0	1.66622	-14.4048
psvid_104079_sp|Q5VTU8|AT5EL_HUMAN	AT5EL_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		5	2.32193	2.05227	0.00046	-11.0861	True	-3.03373	4-7					0	0		1		
psvid_104080_sp|Q9BRP8|PYM1_HUMAN	PYM1_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.1828	10	3.32193	3.05227	0.00023	-12.0861	True	-1.03322	8-15	0.118859	0.835239	0.0357233	7	7	0	0	0	3.20307	-12.9213
psvid_104123_sp|Q9BX51|GGTL1_HUMAN	GGTL1_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		2	1	0.730343	4.17e-05	-14.5496	True	-0.893278	2-3					0	0		1		
psvid_104163_sp|Q96E16|SMI19_HUMAN	SMI19_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		1	0	-0.269657	4.39e-05	-14.4754	True	-1.96604	1					0	0		0		
psvid_104292_sp|Q96NZ9|PRAP1_HUMAN	PRAP1_HUMAN	AZ905	B2021-05-06	control	True	False	False	False	18.6266						False	-1.46968						0	1	1			
psvid_104307_sp|Q8IVM8|S22A9_HUMAN	S22A9_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.0841	2	1	0.730343	1.7e-05	-15.8441	True	0.403733	2-3	0.601588	-0.157985	-1.75393	1	1	0	0	0	0.398412	-15.6861
psvid_104389_sp|P62304|RUXE_HUMAN	RUXE_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.2321	2	1	0.730343	0.000102	-13.2591	True	-2.18253	2-3	-0.437474	1.37846	0.394004	3	2	0	0	0	1.43747	-14.6376
psvid_10446_sp|P83881|RL36A_HUMAN	RL36A_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	19.7626	9	3.16993	2.90027	0.000399	-11.2913	True	-1.97885	8-15	2.84985	4.5097	-4.21383	1	1	0	0	0.777778	0.320073	-15.801
psvid_104736_sp|Q8N5G0|SIM20_HUMAN	SIM20_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	21.8631	2	1	0.730343	0.00014	-12.8023	True	-2.64042	2-3	-0.1853	2.0781	0.0250667	3	1	0	0	0	1.1853	-14.8804
psvid_104749_sp|P22792|CPN2_HUMAN	CPN2_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.9724	7	2.80735	2.5377	6.03e-05	-14.0175	True	0.383424	4-7	0.756112	-0.00125762	-0.586022	4	3	3	0.229	0	2.05124	-14.0162
psvid_104839_sp|O14817|TSN4_HUMAN	TSN4_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		1	0	-0.269657	1.97e-05	-15.6314	True	-0.810986	1					0	0		0		
psvid_104903_sp|Q5T0D9|TPRGL_HUMAN	TPRGL_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.4507	1	0	-0.269657	1.73e-05	-15.8189	True	-0.622682	1	-0.503625	-0.270653	-0.437213	1	1	0	0	0	0.503625	-15.5482
psvid_104949_sp|P18827|SDC1_HUMAN	SDC1_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	21.2616	3	1.58496	1.31531	4.54e-05	-14.4269	True	-0.431199	2-3	0.748295	0.77349	-1.11684	2	2	0	0	0	0.836668	-15.2004
psvid_104963_sp|Q99470|SDF2_HUMAN	SDF2_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.6447	5	2.32193	2.05227	0.000111	-13.1372	True	-0.985534	4-7	0.556849	1.16507	-0.408655	4	4	0	0	0	1.76508	-14.3022
psvid_105012_sp|Q9BUP3|HTAI2_HUMAN	HTAI2_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	25.6965	18	4.16993	3.90027	0.000349	-11.4845	True	-0.787826	16-31	-0.279202	0.256354	0.568735	8	10	4	0.271043	0	4.44913	-11.7408
psvid_105013_sp|Q8NC44|RETR2_HUMAN	RETR2_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.5742	1	0	-0.269657	8.64e-06	-16.8205	True	0.377588	1	-1.00874	-1.77329	0.686204	2	1	1	0.722427	0	1.00874	-15.0472
psvid_105020_sp|P08637|FCG3A_HUMAN	FCG3A_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	21.8828	2	1	0.730343	3.7e-05	-14.7221	True	-0.718597	2-3	-0.197761	0.146311	0.0447054	3	1	1	0.80899	0.5	1.19776	-14.8684
psvid_105053_sp|Q8NEW0|ZNT7_HUMAN	ZNT7_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	23.0893	4	2	1.73034	4.99e-05	-14.2906	True	-0.15171	4-7	-0.158191	-0.377437	0.332084	5	3	0	0	0	2.15819	-13.9132
psvid_105107_sp|O15511|ARPC5_HUMAN	ARPC5_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.5213	1	0	-0.269657	3.11e-05	-14.9727	True	-1.46687	1	-0.526207	0.547581	-0.366667	1	1	0	0	0	0.526207	-15.5203
psvid_105138_sp|P15954|COX7C_HUMAN	COX7C_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.5717	6	2.58496	2.31531	0.000447	-11.1274	True	-2.72974	4-7	-0.947703	1.4917	1.24645	7	3	0	0	0	3.53267	-12.6191
psvid_105195_sp|P62269|RS18_HUMAN	RS18_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	27.5053	23	4.52356	4.2539	0.00071	-10.4599	True	-1.45838	16-31	-1.21728	0.0352843	1.92211	10	12	1	0.00219652	0	5.74085	-10.4952
psvid_105237_sp|Q8TF09|DLRB2_HUMAN	DLRB2_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		1	0	-0.269657	4.89e-05	-14.3198	True	-2.12174	1					0	0		1		
psvid_105309_sp|P61604|CH10_HUMAN	CH10_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	25.518	18	4.16993	3.90027	0.000828	-10.2381	True	-2.03474	16-31	-0.135432	1.64637	0.390252	8	8	0	0	0	4.30536	-11.8845
psvid_105428_sp|P30531|SC6A1_HUMAN	SC6A1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	19.4129	1	0	-0.269657	7.84e-06	-16.9607	True	0.519174	1	-0.242629	-1.03361	-1.47505	1	1	0	0	0	0.242629	-15.9271
psvid_105552_sp|Q8N386|LRC25_HUMAN	LRC25_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.2635	1	0	-0.269657	1.54e-05	-15.9867	True	-0.454841	1	-0.447517	-0.366521	-0.624497	1	1	1	0.418988	0	0.447517	-15.6202
psvid_105690_sp|P37108|SRP14_HUMAN	SRP14_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	23.569	10	3.32193	3.05227	0.000345	-11.5011	True	-1.61947	8-15	0.698035	1.96402	-0.578007	6	6	0	0	0	2.62389	-13.4651
psvid_105695_sp|Q15800|MSMO1_HUMAN	MSMO1_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	23.8277	10	3.32193	3.05227	0.00016	-12.6096	True	-0.509642	8-15	0.445239	0.617476	-0.319333	6	4	2	0.110992	0	2.87669	-13.2271
psvid_105768_sp|P62837|UB2D2_HUMAN	UB2D2_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		3	1.58496	1.31531	9.58e-05	-13.3496	True	-1.50618	2-3					0	0		1		
psvid_105772_sp|Q9Y2X8|UB2D4_HUMAN	UB2D4_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		1	0	-0.269657	3.19e-05	-14.9361	True	-1.50671	1					0	0		1		
psvid_105838_sp|Q9UHE5|NAT8_HUMAN	NAT8_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	23.6637	9	3.16993	2.90027	0.000186	-12.3924	True	-0.879063	8-15	0.452545	0.984394	-0.312729	6	6	1	0.0487687	0	2.71738	-13.3768
psvid_105844_sp|Q5JXB2|UE2NL_HUMAN	UE2NL_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		1	0	-0.269657	3.07e-05	-14.9914	True	-1.44966	1					0	0		1		
psvid_106346_sp|O14521|DHSD_HUMAN	DHSD_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	23.1634	3	1.58496	1.31531	8.86e-05	-13.4623	True	-1.39285	2-3	-0.642433	0.384266	0.784944	5	2	0	0	0	2.2274	-13.8466
psvid_106406_sp|O60725|ICMT_HUMAN	ICMT_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	19.6424	1	0	-0.269657	1.65e-05	-15.8872	True	-0.556859	1	-0.292859	-0.0431276	-1.24553	1	1	0	0	0	0.292859	-15.844
psvid_106413_sp|O00422|SAP18_HUMAN	SAP18_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.9049	4	2	1.73034	0.000123	-12.9891	True	-1.44953	4-7	1.32964	2.37086	-1.85234	2	2	1	0.393314	0	0.670364	-15.3599
psvid_106450_sp|O15431|COPT1_HUMAN	COPT1_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.4685	5	2.32193	2.05227	0.000124	-12.9774	True	-1.13705	4-7	0.7015	1.47503	-0.584825	4	2	0	0	0	1.62043	-14.4524
psvid_106504_sp|O00483|CXFA4_HUMAN	CXFA4_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	26.1987	11	3.45943	3.18977	0.000637	-10.6164	True	-2.36705	8-15	-1.3723	0.732828	1.8935	9	5	0	0	0	4.83173	-11.3492
psvid_106632_sp|Q96A29|FUCT1_HUMAN	FUCT1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.3772	3	1.58496	1.31531	3.87e-05	-14.6573	True	-0.199906	2-3	1.10404	0.91954	-2.00131	1	2	0	0	0	0.480926	-15.5768
psvid_106771_sp|Q8N131|PORIM_HUMAN	PORIM_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.0304	1	0	-0.269657	2.26e-05	-15.4333	True	-1.00712	1	-0.725396	-0.128513	0.142483	2	1	0	0	0	0.725396	-15.3048
psvid_106809_sp|P62310|LSM3_HUMAN	LSM3_HUMAN	AZ905	B2021-05-06	control	True	False	False	False	19.7911						False	-2.03436						0	1	1			
psvid_106828_sp|Q9UI14|PRAF1_HUMAN	PRAF1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	23.2028	3	1.58496	1.31531	7.61e-05	-13.6817	True	-1.17566	2-3	-0.679779	0.128831	0.82431	5	2	0	0	0	2.26474	-13.8106
psvid_106871_sp|Q9C005|DPY30_HUMAN	DPY30_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	20.5597	2	1	0.730343	9.48e-05	-13.3648	True	-2.07683	2-3	0.460935	2.14008	-1.27839	1	2	0	0	0	0.539065	-15.5048
psvid_107074_sp|Q9UDW1|QCR9_HUMAN	QCR9_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	23.8128	8	3	2.73034	0.000596	-10.7124	True	-2.72974	8-15	0.137491	2.52804	0.030343	6	2	0	0	0	2.86251	-13.2404
psvid_107160_sp|P03928|ATP8_HUMAN	ATP8_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	23.4764	9	3.16993	2.90027	0.000621	-10.6531	True	-2.61913	8-15	0.637894	2.89955	-0.499937	5	2	0	0	0	2.53203	-13.5527
psvid_107318_sp|Q9NYL4|FKB11_HUMAN	FKB11_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	25.5565	14	3.80735	3.5377	0.000327	-11.5784	True	-1.05686	8-15	-0.529174	0.275141	0.85587	8	6	0	0	0	4.33653	-11.8536
psvid_107322_sp|O15127|SCAM2_HUMAN	SCAM2_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	22.9723	9	3.16993	2.90027	0.000128	-12.9316	True	-0.34513	8-15	1.11876	1.08473	-1.00405	4	5	0	0	0	2.05117	-14.0163
psvid_107399_sp|Q9NXS2|QPCTL_HUMAN	QPCTL_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.9485	4	2	1.73034	4.92e-05	-14.311	True	-0.129487	4-7	0.759852	0.516727	-0.808719	3	4	0	0	0	1.24015	-14.8277
psvid_107427_sp|P41567|EIF1_HUMAN	EIF1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	22.9535	4	2	1.73034	0.000166	-12.5565	True	-1.88664	4-7	-0.0342372	1.47626	0.196238	4	1	0	0	0.75	2.03424	-14.0328
